No.	DRIVER GENES
566	QRICH2
567	SDAD1
568	RAET1E
569	TMEM211
570	ZNF829
571	KDM3B
572	HSPA12A
573	GINS3
574	PET112
575	UGT1A9
576	SMCR8
577	SIDT2
578	OR2J2
579	CACNG4
580	CAMSAP3
581	DRD3
582	RP11-29G8.3
583	ZSCAN18
584	TPD52L1
585	MS4A15
586	ITGB7
587	SLC22A7
588	HSD17B4
589	TECPR2
590	S100A5
591	UBASH3B
592	CCDC146
593	MARCO
594	DMD
595	DAAM2
596	VPS33A
597	CDK5RAP1
598	TEDDM1
599	PTPRU
600	SCAMP3
601	PRICKLE1
602	METTL15
603	BRWD3
604	TOMM20
605	IMMT
606	ZNF333
607	UGP2
608	BRD2
609	EPG5
610	NKD2
611	HSD11B2
612	MARCH3
613	HBS1L
614	OR5AS1
615	GRIP1
616	USP24
617	ZNF536
618	TNFRSF10C
619	OR5R1
620	SNX6
621	PCYOX1L
622	PTPN12
623	CYP4V2
624	ITGA9
625	PRDM14
626	TIMM23
627	MYL2
628	NEK4
629	TICRR
630	GGT5
631	CDH15
632	SMARCA2
633	SPIN4
634	HIST1H2BD
635	SETD7
636	LBX2
637	STARD7-AS1
638	UPK1A
639	PRAMEF2
640	MCHR2
641	INTU
642	C1orf127
643	MIR503HG
644	ZNF648
645	CLTC
646	UGT2B11
647	POM121L2
648	DNAH17
649	FAM211B
650	ENO2
651	RDM1
652	PTPRD
653	AL161651.1
654	CAPN12
655	KLF11
656	GPR26
657	ABCD1
658	TMEM163
659	SYDE2
660	KRTAP8-1
661	ZNF799
662	RPL8
663	NARFL
664	MRPL40
665	PKD1L1
666	KRT79
667	BMX
668	SPECC1L
669	C16orf59
670	TOR4A
671	GEMIN4
672	ZNF485
673	QDPR
674	ASB6
675	PRELID2
676	CAND2
677	CIC
678	ZNF446
679	IDH3B
680	NEIL1
681	TCEB3
682	IQCA1
683	LRRN1
684	HABP4
685	LINC00674
686	PRKRIP1
687	GLRB
688	MAPRE2
689	AQP7
690	IGHD
691	RBM15
692	VTI1A
693	SDK1
694	HELLS
695	FGFR3
696	MMS19
697	ZDHHC22
698	CLDN4
699	ELMO1
700	SYNDIG1L
701	SNORD115-28
702	SLC30A10
703	DSTN
704	CADM4
705	HP1BP3
706	SLC25A44
707	FAM83G
708	ENGASE
709	TRAV3
710	IQCC
711	KLHL4
712	SYNRG
713	C12orf43
714	ESPNL
715	RP11-384K6.6
716	GPR22
717	TLR9
718	HSPA6
719	RP9P
720	ZNF551
721	ACTR6
722	GALNT7
723	SPAM1
724	HNRNPA0
725	DZIP1L
726	FANCL
727	CTRC
728	SYN3
729	POM121
730	CCL25
731	NIPBL
732	ARHGEF11
733	IGHV3-48
734	PNPLA4
735	SPOCK1
736	SNRNP200
737	CAMLG
738	DUSP13
739	IRAK2
740	SENP7
741	PSORS1C2
742	OR5K1
743	KLHL18
744	NRROS
745	TMEM61
746	AL445989.1
747	OR8A1
748	FBN1
749	DDX52
750	GOLGA6D
751	TNRC6C
752	CELA3A
753	SH2D7
754	APOBR
755	RP1-274L7.1
756	MSH3
757	GSTZ1
758	CA10
759	SPANXN4
760	RASSF8
761	UGGT2
762	ZNF609
763	TKTL1
764	ROBO4
765	MIR519A1
766	ATP5E
767	OR9G1
768	ZNF235
769	PTDSS2
770	F3
771	MYCBPAP
772	VWCE
773	RBCK1
774	MASP2
775	SFTA3
776	PRSS54
777	OR2T1
778	THPO
779	PEX1
780	PRB2
781	GYLTL1B
782	FAM211A
783	AGPAT9
784	CCDC91
785	OR1N2
786	LOXL2
787	TUBG1
788	LRRC47
789	CFB
790	XDH
791	SIPA1L3
792	TAS2R43
793	SYCP2L
794	OR52E8
795	C5orf24
796	TBRG1
797	DTX1
798	CHRNA1
799	FBXO8
800	SLC46A2
801	C9orf64
802	OR51I2
803	ACTB
804	SLC12A6
805	TAL1
806	OR56B4
807	GIF
808	DHX57
809	ACTBL2
810	POLR3E
811	BPIFA3
812	NEK10
813	MRAP
814	RILPL1
815	SLAMF6
816	POU2F2
817	AKTIP
818	HIST1H4F
819	ADAMTS20
820	NSD1
821	LHX1
822	FUT10
823	FZD3
824	NPBWR1
825	ARHGAP22
826	PRICKLE2
827	HACE1
828	HAS3
829	DHRS4L2
830	PPP1CB
831	SCAND3
832	MARCH8
833	SPATA31C1
834	SLC25A53
835	PTPRR
836	SLC41A2
837	GPM6A
838	HTR3A
839	ARHGEF3
840	EZH2
841	SEC23A
842	CDKN2D
843	WDR59
844	CAMK4
845	ZNF679
846	PLP1
847	SNX21
848	KCNJ5
849	MC2R
850	HSP90AB1
851	FER
852	NEK8
853	TRIM33
854	PADI3
855	RP11-723O4.9
856	OPN5
857	CUZD1
858	PHKB
859	SHANK1
860	AKR1B15
861	HUNK
862	SYT11
863	VPS39
864	TRIM7
865	CASS4
866	ZCCHC4
867	VIMP
868	KRT20
869	AZI1
870	HNRNPH1
871	ACADS
872	GALNT3
873	CACNA1C
874	PEG3
875	TOP2A
876	ZSCAN5B
877	SLC30A3
878	USPL1
879	CCKBR
880	TPR
881	PSME3
882	PGF
883	MMGT1
884	REL
885	KCNJ3
886	SLC12A4
887	MLLT3
888	HFM1
889	MTHFD1L
890	ERI3
891	FILIP1L
892	CXorf67
893	TRAPPC8
894	OR7D4
895	CCDC149
896	SIT1
897	ATG7
898	MFSD5
899	CHRNB1
900	MSL1
901	VWA9
902	EFHC1
903	NCAM2
904	CLDN10
905	KIAA0020
906	ESYT1
907	PDCD7
908	LIN7A
909	B4GALT1
910	KCNN2
911	DKK1
912	PRKG2
913	FAM195B
914	LAT
915	HCN1
916	UNC5C
917	DPPA4
918	CGRRF1
919	GABRG3
920	ZNF438
921	RBP2
922	LRRC32
923	F2RL3
924	SYT2
925	ELK1
926	SLC6A19
927	NDNL2
928	TCL1A
929	EAF1
930	DIP2C
931	FBXL2
932	PSG7
933	CD160
934	TTF1
935	EBF3
936	WEE1
937	EIF2AK3
938	SCNN1D
939	PLEKHH1
940	MIB2
941	PNKD
942	HIST1H1T
943	ADAM8
944	KDELC2
945	RIMBP2
946	GAPDHS
947	CSN1S1
948	AADACL4
949	KIAA0895L
950	INSR
951	CNNM2
952	NAB2
953	PPP2R2A
954	ZNF808
955	CEP192
956	TSSK4
957	OR1E2
958	PANK4
959	GLE1
960	DHRS13
961	OR2T8
962	HHEX
963	ERCC4
964	LRRC8E
965	ISYNA1
966	PIGC
967	ALDH18A1
968	APOBEC3D
969	PORCN
970	GBA
971	MAPK1IP1L
972	TMEM107
973	ACTR2
974	TTC38
975	PITRM1
976	TBCCD1
977	WBP2
978	KLHL3
979	C16orf91
980	KRT36
981	MRC1L1
982	PTPRG
983	CADPS
984	PALM2-AKAP2
985	NPTX1
986	EBF4
987	TMPRSS13
988	CDC42BPG
989	CPA2
990	TSPAN2
991	LINC01106
992	SLC52A1
993	TMEM52B
994	TP73-AS1
995	KPNB1
996	SPATA9
997	FAIM
998	DAP3
999	APOLD1
1000	METTL22
