No.	DRIVER GENES
725	PRPF8
726	CYB561D1
727	VSIG8
728	TIGIT
729	NPAS3
730	CTCF
731	DCBLD1
732	CD200R1L
733	OSR2
734	BCLAF1
735	REG3G
736	CCDC88B
737	PCDHGA12
738	CHDC2
739	TFR2
740	JMJD4
741	MPHOSPH8
742	PLA2G6
743	MN1
744	DDI1
745	LMLN
746	PRRT3
747	ZNF324
748	OR6K6
749	KIAA1524
750	PEBP4
751	IGKV3-7
752	RALYL
753	RNF123
754	SIN3A
755	HSF5
756	RPAP1
757	USP22
758	SPANXD
759	FBXO43
760	CFHR5
761	SLC43A3
762	TCF4
763	C11orf30
764	RPS6KA6
765	USP37
766	SLC25A28
767	RAMP1
768	PAG1
769	AARS
770	SRPX
771	OGDH
772	AQP12A
773	AADACL4
774	RIPK4
775	PSG2
776	CCDC174
777	OR5B3
778	OR13C2
779	ACR
780	ENO1
781	NKTR
782	MRPL14
783	MUC13
784	MIR4747
785	PRODH2
786	CASP10
787	LPO
788	PIK3R3
789	KHK
790	ALOX15B
791	MDGA2
792	TTF1
793	PTCHD4
794	ARFIP2
795	STXBP4
796	GPR37
797	PDGFRA
798	C10orf62
799	FBXO46
800	PARVG
801	ZIC1
802	EIF4G3
803	DPRX
804	CYS1
805	BHLHE40
806	WDR43
807	EVPL
808	SLC7A7
809	C11orf70
810	SETD4
811	SMCO1
812	ENPEP
813	CCL8
814	RGS5
815	ABCA1
816	TAS1R2
817	SERINC3
818	FNTB
819	TLE3
820	ZRANB3
821	EIF5B
822	THAP6
823	HGF
824	ST6GALNAC6
825	DUSP6
826	MCM4
827	ALS2CL
828	ASB8
829	MED1
830	RGS7
831	ADPRHL1
832	SLC6A14
833	SLC17A5
834	TULP2
835	FCER1A
836	TRPC7
837	C2orf70
838	EGFL6
839	HDAC8
840	PCDHB7
841	FOXR1
842	DEPDC1
843	KCNJ2
844	RP11-193H5.1
845	GPD1L
846	SERPINA4
847	RASGRP2
848	SNX18
849	ADSL
850	MTNR1A
851	UBXN11
852	HMGB1
853	CPSF6
854	ASIC2
855	GLO1
856	RBAK-RBAKDN
857	NUTM2G
858	CAV1
859	RGS20
860	BDKRB1
861	HMG20B
862	FGF4
863	ELOVL3
864	FLJ27365
865	AC027612.6
866	EPHB3
867	SAP30L
868	BTG1
869	MAGED1
870	PRPH2
871	AURKAIP1
872	AMER2
873	ZBTB8A
874	NUP50
875	ANGPTL7
876	AC100757.1
877	ITGA2
878	AASDH
879	PADI3
880	ZNF804A
881	CHD9
882	C17orf53
883	SLC7A13
884	CYP7B1
885	MLH1
886	ARNT
887	OSBPL1A
888	DPPA2
889	FABP4
890	PRKG2
891	ANO9
892	TUSC1
893	ZIC3
894	HEATR3
895	HTR2A
896	PRNT
897	EIF3K
898	SCN9A
899	CTNNBL1
900	ATP2A2
901	PDCL
902	PSG7
903	PSMD6
904	NUP214
905	OR2S2
906	USP3
907	POLR3D
908	SLC38A7
909	REXO1L1P
910	RAD51AP1
911	MFSD2A
912	KIF21A
913	ZRANB2
914	PPM1G
915	KAT6A
916	DENND4C
917	PROM1
918	OPRL1
919	ZNF385D
920	IGF2BP3
921	PRAMEF10
922	CHSY3
923	CHCHD4
924	PLEKHM2
925	FAM154A
926	ANKIB1
927	FKBP14
928	KLHL9
929	MYBL2
930	SNX31
931	FMOD
932	GUCY2F
933	RASA4B
934	FCGBP
935	BAIAP3
936	HSPB3
937	FAM160A2
938	ARID3C
939	SLC35C1
940	PEX6
941	FLNA
942	TCEAL8
943	FAM118B
944	PRR3
945	DSE
946	MTCH2
947	KIF7
948	UGT1A8
949	FGF2
950	SPTBN2
951	PIDD
952	ALPI
953	CALCR
954	LINGO2
955	KIF1A
956	UNC80
957	TAS2R19
958	KCNH5
959	XCR1
960	CHP1
961	ATG2A
962	TMEM115
963	KCNH1
964	FTCD
965	RP11-472M19.2
966	ARHGEF11
967	SERPINA9
968	WDR17
969	OR1D4
970	HECTD4
971	ABCB5
972	SLC22A10
973	NMBR
974	HSPA1L
975	ERP27
976	PAPOLA
977	AMY2B
978	NRIP1
979	RNASEH2C
980	CYP2C19
981	PRPS1L1
982	FBXO16
983	CENPP
984	CLRN3
985	TATDN3
986	ETNPPL
987	CCR7
988	TOP2B
989	FLRT2
990	KIAA1598
991	NRP1
992	MMP16
993	ZNF98
994	AL645922.1
995	MTMR6
996	SLCO2B1
997	NBPF14
998	DAB2
999	CHD6
1000	SYT14
