No.	DRIVER GENES
662	PTK2B
663	EVA1C
664	WRNIP1
665	CCR6
666	DEPTOR
667	PIWIL2
668	SH2B3
669	ADAMTS5
670	ANXA13
671	KTN1
672	CNN1
673	PGBD1
674	GTF3C3
675	TMEM134
676	ALDH1B1
677	CD2AP
678	ZMYND15
679	UBE2F
680	FAM186B
681	PMS1
682	NAP1L2
683	EDARADD
684	HIGD1A
685	PIK3C2A
686	TTBK1
687	MICU2
688	TMEM61
689	TMEFF2
690	RELA
691	RIMBP2
692	ALDH3B2
693	SAMM50
694	GPR149
695	CBLN3
696	ZNF641
697	PODN
698	TRDV1
699	EIF4A1
700	ZNF713
701	DPEP1
702	NCSTN
703	PLA2G3
704	MYH6
705	ELMO1
706	AC015849.16
707	BCAR3
708	HSPA14
709	CADPS
710	TSPAN4
711	STAMBPL1
712	NOA1
713	PAK2
714	JAK1
715	NFKB1
716	AMD1
717	CASP9
718	ASTN1
719	KLHL15
720	PTGFRN
721	HIST1H2AI
722	DNAJB13
723	ZNF628
724	ZNF76
725	PHYHIPL
726	MKLN1
727	COPG2
728	BLCAP
729	PDXK
730	PTCD1
731	UBR7
732	OR2S2
733	SCAF11
734	KRT40
735	MYEOV2
736	PRKX
737	ABCA3
738	ABCC10
739	POLR3D
740	OR6M1
741	CLEC7A
742	ANKRD22
743	CCDC71
744	PTPRD
745	CLEC12B
746	ARHGEF37
747	WDR35
748	THAP1
749	ATF4
750	SCARB2
751	WDR93
752	KCNH2
753	KIAA0247
754	MAN2B2
755	SHC3
756	CD93
757	SORCS2
758	TMOD3
759	SLC35G5
760	CHCHD5
761	NPC1
762	ADCY8
763	ECSIT
764	LPPR3
765	RPL15
766	CYP11B1
767	RNF214
768	SPATA5
769	AP1B1
770	ZC3H12A
771	OR6S1
772	IQCA1
773	MPPED1
774	PTCD3
775	WFDC3
776	RBCK1
777	C20orf194
778	SPATA16
779	TMEM108
780	ZNF629
781	SLC2A13
782	SBNO1
783	DPPA4
784	SRY
785	ENPP7
786	NUP107
787	UGT2A3
788	ALOX12B
789	DIO3
790	HNRNPLL
791	MCM2
792	HEPACAM2
793	SERPINH1
794	HNF1A
795	GYPC
796	SLC1A5
797	TTK
798	MSTO1
799	C1orf159
800	GPR125
801	SUGP2
802	GYS1
803	RNF14
804	ACE2
805	AMBRA1
806	KIAA1407
807	GLB1
808	MYH11
809	CLCNKB
810	PCDHGA1
811	GABBR2
812	FRMD3
813	OTUD5
814	MTHFR
815	KRTAP19-6
816	MAP3K12
817	RPUSD3
818	IFIT2
819	GALC
820	SH2D3C
821	ZBTB18
822	FMO2
823	PPP6R1
824	ARHGAP27
825	PKD1L2
826	MIPOL1
827	EFCAB5
828	SPEF2
829	DLGAP3
830	SIMC1
831	ZDHHC2
832	FOXP4
833	MRPL12
834	HAPLN3
835	UGT2B11
836	STK32B
837	KLHDC1
838	CLEC1A
839	HNF1B
840	PATZ1
841	MSL1
842	SLC38A10
843	ST7L
844	MOCOS
845	ZNF146
846	EFEMP2
847	INSIG2
848	TJP2
849	OR8B8
850	APOL4
851	TMEM39B
852	WDR55
853	KLHL10
854	SOCS4
855	ERMP1
856	FAM179B
857	FBXO16
858	AKAP5
859	PLXDC1
860	KCTD11
861	TMEM167B
862	CARF
863	CLSTN2
864	HIST1H2AE
865	ELN
866	LPAR5
867	ANKEF1
868	OXTR
869	KCNS2
870	FAM129B
871	PSMD11
872	LZTS2
873	CXorf38
874	NKAIN3
875	GEMIN7
876	LYPD3
877	GANAB
878	USP11
879	ABCC1
880	NOX1
881	LCN12
882	OR7A17
883	IL26
884	UBP1
885	TRAPPC8
886	CXCR2
887	GPR173
