No.	DRIVER GENES
562	TAS2R50
563	THSD1
564	DNAJC7
565	DERL3
566	SMAD1
567	SRGAP1
568	IL2RA
569	ZNF765
570	SLC17A5
571	ARMC8
572	HIST1H2BF
573	TSTA3
574	GALNT2
575	PPP1R13B
576	CD1C
577	SLC15A3
578	NCAPD2
579	PHF21B
580	hsa-mir-490
581	ZSWIM5
582	HIVEP1
583	NLRC5
584	DBR1
585	TRBV20-1
586	SLC4A4
587	DEPDC4
588	GUSBP11
589	RHPN2
590	CYP1A1
591	ZNF483
592	FUNDC2P2
593	TRIB2
594	MBNL2
595	C20orf85
596	ITGAD
597	SALL4
598	GABPB1
599	ZBED6CL
600	TLR4
601	CRELD1
602	SRPR
603	FAM105A
604	NUTM2F
605	FGF13
606	OLIG3
607	FBLIM1
608	CHST14
609	RAD9A
610	CNOT4
611	PCDHB10
612	FRK
613	PRKCB
614	NKG7
615	OR2K2
616	AL035406.1
617	CLEC1A
618	FAM211A
619	CMAS
620	ZNF544
621	USP44
622	RGL4
623	FUT3
624	POU5F2
625	NFIC
626	RYR2
627	NCKAP5
628	KRT78
629	RBMXL2
630	TRRAP
631	NOS1AP
632	RUNDC3A
633	C10ORF68
634	SLC13A2
635	GOLGA7
636	MROH2B
637	PPP1R3B
638	KXD1
639	PPDPF
640	CCDC158
641	CCL3
642	C8orf86
643	LXN
644	HTR5A
645	FAM120B
646	OR6V1
647	SLC4A11
648	OPN3
649	INSL5
650	ST6GALNAC6
651	UQCC1
652	OTOP2
653	IQCK
654	TAS2R40
655	CDC14A
656	PCDH9
657	KRT85
658	STYK1
659	DPYSL4
660	MATN3
661	ZSCAN9
662	ZNF688
663	RAB9B
664	GFM2
665	TMEM126B
666	VEZF1
667	ETV6
668	PSG2
669	UGT1A8
670	UPB1
671	TIGD5
672	PLA2G4E
673	TIA1
674	MPL
675	TSPAN16
676	IHH
677	ADAMTSL5
678	PCMTD1
679	YTHDC1
680	ZNF117
681	SNX9
682	CRYBB2
683	GATA2
684	RHNO1
685	SAC3D1
686	PLEKHH1
687	CELA3A
688	CLDN16
689	RIBC2
690	FKBP5
691	GPR83
692	OR8B2
693	PFKFB3
694	C17orf53
695	C10orf76
696	TNFRSF12A
697	CCDC102A
698	WDR3
699	CACNA1H
700	ZNF660
701	PCDHA8
702	GAB2
703	SERPINE3
704	HOOK3
705	CCDC51
706	MAPKAPK2
707	USP3
708	TPCN1
709	FSTL3
710	RIT2
711	COMMD3
712	ZNF646
713	CST1
714	HGFAC
715	SPACA3
716	CSNK1A1L
717	ERI3
718	SPTSSA
719	ADAR
720	CSK
721	NEK10
722	RNF17
723	CEP170
724	NLE1
725	TMEM26
726	INTS1
727	VASP
728	RPS5
729	AC005013.5
730	TTLL13
731	EPC1
732	PCYT2
733	TMPRSS7
734	GJA4
735	RPS6KA3
