No.	DRIVER GENES
718	OR10A3
719	DLG4
720	KCNJ6
721	RTKN
722	IKZF2
723	PSD3
724	STOML3
725	AGXT2
726	DDHD2
727	TET1
728	BANF1
729	SPDL1
730	WDR92
731	PGRMC1
732	SLITRK1
733	DAGLA
734	EHD4
735	TMEM99
736	PGBD2
737	KIAA1217
738	TGFBR3
739	ARHGAP39
740	MURC
741	B4GALNT1
742	GPR158
743	NRAS
744	TAF4
745	CSF2RA
746	MEIS3
747	DISP2
748	ZNF564
749	GNL2
750	ZSWIM3
751	TMEM106B
752	POR
753	KCNU1
754	DEFB104A
755	TRBV19
756	KIAA1257
757	GLT6D1
758	CCNB1
759	FEZF1
760	C10orf120
761	DMAP1
762	WISP2
763	TMEM8A
764	GJB3
765	ARL13A
766	SCRT2
767	DBI
768	INF2
769	ADAMTS20
770	NOS1
771	NAT16
772	RNF183
773	CNIH2
774	RAP2B
775	FOXP2
776	HEATR6
777	VPS13B
778	ATP6V0B
779	TBCCD1
780	PLXDC1
781	VCX
782	ZNF562
783	RHOF
784	MRGPRX1
785	FAM155A
786	STK36
787	C9
788	CRMP1
789	ETV4
790	TNFRSF6B
791	EXOC8
792	SLC22A10
793	TMEM63A
794	SDS
795	EIF2A
796	PAN3
797	MOV10
798	SOX5
799	SLC22A15
800	DGKB
801	SND1
802	RAD54L2
803	SPHK1
804	KMT2B
805	UBBP4
806	PRKCE
807	ERMN
808	ICK
809	MOAP1
810	TRIB3
811	CLCN6
812	GFRA1
813	BIVM-ERCC5
814	NFXL1
815	PLEKHN1
816	MYZAP
817	TRBV6-5
818	AFF2
819	KBTBD6
820	RPSA
821	EPS15L1
822	CCNYL1
823	TAT
824	ZC3H7A
825	DNM1P46
826	LRRFIP2
827	DMPK
828	HES1
829	TTC14
830	KRT24
831	TERT
832	DUSP22
833	APOBEC4
834	CCDC113
835	AKNA
836	KIF27
837	RTN2
838	TMIGD2
839	PON3
840	FITM1
841	MRAP2
842	MSL3P1
843	PNCK
844	SETD3
845	WBSCR22
846	KIF5C
847	C1orf94
848	ABCB9
849	IP6K1
850	METAP1
851	TMBIM4
852	FAM83H
853	MTG1
854	IFITM1
855	AANAT
856	C9orf117
857	LAMA4
858	TTC6
859	CHAT
860	ZDHHC20
861	BTN2A2
862	C1orf85
863	MICALL2
864	C2
865	PDHA2
866	URGCP
867	HSPD1
868	LY75-CD302
869	USP15
870	MFAP5
871	EIF3K
872	ABHD16B
873	CYP1B1
874	PRAM1
875	SARS
876	OSBP2
877	TRIM74
878	CCDC159
879	N6AMT2
880	SDK2
881	ITGA9
882	CGB8
883	PHYH
884	CYP3A5
885	RP11-1016B18.1
886	LIPN
887	EDA
888	POP1
889	POLH
890	C14orf2
891	KIAA1377
892	MANF
893	NXPE3
894	BLNK
895	MEF2C
896	ARL14
897	CACUL1
898	RBM28
899	FGF20
900	FAM49B
901	KIAA1328
902	PCDH10
903	C5AR1
904	SLC5A1
905	CALCR
906	SERTAD1
907	MFHAS1
908	C2orf44
909	IGKV1D-8
910	TUBGCP2
911	ITPR2
912	NEURL2
913	ZNF571
914	PARP16
915	MEPCE
916	POU5F1
917	ATP5C1
918	ATP11C
919	STARD13
920	EPHA6
921	PLEKHM3
922	FAM209B
923	SERAC1
924	PARN
925	C4orf40
926	PRKCA
927	JMJD6
928	AVIL
929	SOX4
